i	sen	 p_x	p_y	px_gt	py_gt	px_sen	py_sen	v	v_gt	yaw	yaw_gt	yaw_rate	yaw_rate_gt	NIS
0	0	 0.312243	0.58034	0.6	0.6	0.312243	0.58034	0	5.19994	0	0	0	0.00691132	0
1	1	 0.640963	0.53476	0.859997	0.600045	0.862916	0.534212	5.65868	5.19975	2.84935e-18	0.000345566	1.69913e-18	0.0138215	117.162
2	0	 1.15968	0.491934	1.11998	0.600225	1.17385	0.481073	5.6613	5.19943	-0.00136987	0.00103664	-0.000112983	0.0207296	0.184149
3	1	 1.30491	0.537674	1.37996	0.600629	0.969149	0.397513	5.17002	5.19899	-0.0301375	0.00207312	-0.00570441	0.0276344	3.76218
4	0	 1.60829	0.553078	1.6399	0.601347	1.65063	0.62469	5.17725	5.19842	-0.0225172	0.00345484	-0.00406691	0.0345348	0.470083
5	1	 1.85003	0.554631	1.89982	0.60247	1.62331	0.499091	5.27264	5.19773	-0.00441483	0.00518158	0.00478166	0.0414297	1.33516
6	0	 2.13898	0.571319	2.1597	0.604086	2.18882	0.648739	5.27599	5.19691	0.0061711	0.00725307	0.00852005	0.0483182	0.497304
7	1	 2.36001	0.614998	2.41954	0.606284	1.96701	0.557117	5.17473	5.19597	0.0555535	0.00966898	0.0273887	0.0551989	2.889
8	0	 2.62707	0.636027	2.67932	0.609155	2.65526	0.66598	5.17906	5.19491	0.0602773	0.0124289	0.0295476	0.062071	0.0956656
9	1	 2.89184	0.64653	2.93904	0.612786	2.92034	0.645898	5.20495	5.19372	0.0574315	0.0155325	0.028681	0.0689333	0.0778965
10	0	 3.12344	0.65672	3.19869	0.617267	3.01222	0.637046	5.17837	5.19241	0.0601451	0.0189791	0.0283365	0.0757847	0.70867
11	1	 3.40471	0.60305	3.45825	0.622685	3.56096	0.485311	5.22471	5.19097	0.0131657	0.0227684	-0.021042	0.0826241	2.91346
12	0	 3.70735	0.550561	3.71772	0.62913	3.89365	0.311793	5.27939	5.18942	-0.0284414	0.0268996	-0.0681903	0.0894504	5.01388
13	1	 3.98682	0.579248	3.97708	0.636689	4.19786	0.698311	5.31751	5.18775	-0.0075347	0.0313721	-0.0277013	0.0962627	1.75314
14	0	 4.26182	0.576996	4.23632	0.645449	4.30935	0.578564	5.32772	5.18595	-0.00970605	0.0361852	-0.0280151	0.10306	0.120638
15	1	 4.52262	0.599159	4.49542	0.655498	4.61908	0.68951	5.30498	5.18405	0.00301482	0.0413382	-0.00863701	0.10984	0.754681
16	0	 4.71598	0.672027	4.75437	0.666921	4.35143	0.899174	5.22296	5.18202	0.0513389	0.0468302	0.0651193	0.116604	10.0855
17	1	 4.97153	0.673117	5.01315	0.679804	5.20902	0.66599	5.18709	5.17988	0.0441358	0.0526604	0.0448564	0.123349	2.05186
18	0	 5.27444	0.673003	5.27175	0.694234	5.51894	0.648233	5.23496	5.17763	0.0371376	0.0588279	0.0320544	0.130074	3.17856
19	1	 5.53215	0.681908	5.53013	0.710295	5.22834	0.639362	5.24749	5.17526	0.0397627	0.0653316	0.0350189	0.136779	1.54262
20	0	 5.82729	0.694643	5.78828	0.728072	6.022	0.708619	5.28331	5.17278	0.0416657	0.0721706	0.0365632	0.143463	1.98508
21	1	 6.07385	0.636568	6.04618	0.747647	5.89392	0.373584	5.23985	5.1702	-0.000512441	0.0793437	-0.0370053	0.150124	4.27334
22	0	 6.33337	0.727998	6.30379	0.769103	6.34249	0.948833	5.23844	5.16751	0.0532914	0.0868499	0.051434	0.156761	3.07157
23	1	 6.58629	0.757293	6.5611	0.792523	6.62134	0.836138	5.21679	5.16471	0.06426	0.0946879	0.0637017	0.163373	0.65291
24	0	 6.83769	0.756493	6.81808	0.817988	6.78214	0.714036	5.20766	5.1618	0.0571145	0.102857	0.047693	0.169959	0.271588
25	1	 7.0861	0.741477	7.07469	0.845578	7.29121	0.630741	5.16332	5.1588	0.0404936	0.111355	0.0169211	0.176519	3.82299
26	0	 7.3125	0.819919	7.3309	0.875373	7.13735	0.957217	5.13297	5.15569	0.0813168	0.120181	0.076589	0.183051	2.85698
27	1	 7.59873	0.834423	7.58668	0.907449	8.08349	0.819605	5.18354	5.15249	0.0807751	0.129333	0.070567	0.189554	3.90933
28	0	 7.8514	0.811904	7.84199	0.941886	7.80533	0.719126	5.17636	5.14919	0.0598094	0.138811	0.0347597	0.196027	0.668003
29	1	 8.10501	0.829413	8.0968	0.978759	8.40453	0.884557	5.14908	5.14579	0.0616545	0.148612	0.033487	0.202468	2.79108
30	0	 8.34616	0.845433	8.35106	1.01814	8.24796	0.840322	5.13343	5.14231	0.0638774	0.158735	0.0343747	0.208879	0.496292
31	1	 8.60878	0.937627	8.60472	1.06011	8.45858	1.41118	5.16898	5.13873	0.10803	0.169179	0.0967512	0.215255	6.31818
32	0	 8.84773	0.995947	8.85775	1.10473	8.74615	1.04858	5.15298	5.13507	0.129913	0.179942	0.121241	0.221599	0.730119
33	1	 9.13229	1.03638	9.1101	1.15208	9.8809	1.1419	5.18812	5.13132	0.137851	0.191022	0.123234	0.227907	6.66373
34	0	 9.37134	1.06746	9.36172	1.20223	9.25579	1.04913	5.17019	5.12748	0.142105	0.202417	0.120882	0.234179	0.70114
35	1	 9.64554	1.14344	9.61255	1.25524	10.1016	1.52474	5.20083	5.12357	0.167594	0.214126	0.147624	0.240414	4.40351
36	0	 9.91434	1.27347	9.86254	1.31118	10.0484	1.44598	5.22383	5.11958	0.219902	0.226147	0.210419	0.246611	2.85746
37	1	 10.1648	1.37255	10.1117	1.37011	10.5377	1.72555	5.20599	5.11551	0.254925	0.238478	0.248554	0.252769	4.47709
38	0	 10.3927	1.45175	10.3598	1.4321	10.2492	1.45907	5.18501	5.11137	0.275763	0.251116	0.261149	0.258887	1.06836
39	1	 10.6283	1.55085	10.6069	1.49721	10.9084	1.70343	5.1493	5.10717	0.309359	0.26406	0.297712	0.264964	4.24489
40	0	 10.8603	1.57448	10.853	1.56549	10.7313	1.45265	5.1247	5.10289	0.296272	0.277309	0.259787	0.271	1.77463
41	1	 11.123	1.62735	11.0979	1.637	11.4783	1.42876	5.14141	5.09855	0.294065	0.290859	0.236739	0.276993	1.86125
42	0	 11.4019	1.66277	11.3416	1.71179	11.587	1.61462	5.16385	5.09414	0.280872	0.304708	0.200918	0.282942	1.9896
43	1	 11.6362	1.72649	11.584	1.78992	11.4763	1.53917	5.13718	5.08968	0.289823	0.318855	0.202824	0.288846	1.16867
44	0	 11.8698	1.78653	11.8251	1.87144	11.7788	1.74591	5.1217	5.08516	0.294047	0.333298	0.195165	0.294705	0.514915
45	1	 12.1209	1.87746	12.0647	1.95639	12.136	2.14937	5.14431	5.08058	0.308947	0.348033	0.198901	0.300517	1.09937
46	0	 12.3678	1.8978	12.3029	2.04482	12.3226	1.78353	5.12846	5.07596	0.288406	0.363059	0.157203	0.306282	0.964881
47	1	 12.6213	1.95536	12.5394	2.13677	12.5457	1.77728	5.14386	5.07128	0.284669	0.378373	0.13773	0.311998	0.938988
48	0	 12.8216	2.09467	12.7743	2.23227	12.5924	2.17509	5.12113	5.06656	0.331711	0.393973	0.193629	0.317665	3.32442
49	1	 13.0812	2.19729	13.0075	2.33137	13.2198	2.66441	5.16533	5.0618	0.343399	0.409856	0.188714	0.323282	3.51215
50	0	 13.2837	2.34156	13.2388	2.43409	13.0875	2.40708	5.14667	5.057	0.387181	0.42602	0.23637	0.328848	2.41276
51	1	 13.4673	2.50472	13.4682	2.54047	12.7087	3.12439	5.0966	5.05217	0.447004	0.442462	0.313688	0.334362	10.6419
52	0	 13.7153	2.61092	13.6955	2.65053	13.836	2.62479	5.11299	5.0473	0.45661	0.459181	0.304711	0.339823	0.757684
53	1	 13.9347	2.73106	13.9208	2.7643	13.8302	2.73893	5.10295	5.0424	0.478082	0.476172	0.316102	0.34523	0.21923
54	0	 14.1612	2.87845	14.1439	2.88179	14.2106	2.94205	5.11669	5.03748	0.507356	0.493433	0.333652	0.350583	0.371455
55	1	 14.4088	2.9793	14.3646	3.00303	14.5568	2.87021	5.14461	5.03253	0.499151	0.510962	0.287899	0.355881	1.66991
56	0	 14.6211	3.04922	14.583	3.12802	14.4616	2.90734	5.10724	5.02756	0.490388	0.528756	0.258777	0.361122	2.45591
57	1	 14.8484	3.19709	14.7989	3.25679	14.6754	3.96041	5.13584	5.02257	0.5098	0.546812	0.258831	0.366307	3.83216
58	0	 15.0511	3.38832	15.0122	3.38932	15.0261	3.5067	5.15107	5.01757	0.557122	0.565128	0.30427	0.371433	1.01327
59	1	 15.2606	3.55755	15.2228	3.52563	15.3685	4.14761	5.15432	5.01256	0.592318	0.583699	0.336281	0.376501	2.36502
60	0	 15.471	3.74065	15.4306	3.66572	15.5236	3.82936	5.17377	5.00754	0.626463	0.602525	0.358365	0.381509	0.617
61	1	 15.6843	3.87399	15.6355	3.80957	15.7234	3.4105	5.16789	5.00251	0.633529	0.6216	0.343267	0.386458	1.0022
62	0	 15.9069	4.01285	15.8375	3.95719	15.9774	4.00094	5.17196	4.99749	0.639859	0.640923	0.328639	0.391345	0.286398
63	1	 16.1019	4.18369	16.0363	4.10854	16.3376	4.21632	5.15941	4.99246	0.673964	0.66049	0.365169	0.39617	1.70623
